,date,count,max_time,total_time
1,24-03-2020,50,7,58
2,25-03-2020,87,50,257
3,26-03-2020,99,17,238
4,27-03-2020,66,36,137
5,28-03-2020,43,13,89
6,29-03-2020,28,14,34
7,30-03-2020,24,39,46
8,31-03-2020,81,38,154
9,01-04-2020,88,20,112
10,02-04-2020,57,11,66
11,03-04-2020,33,7,39
12,04-04-2020,30,13,27
13,05-04-2020,41,37,194
14,06-04-2020,86,56,-1135
15,07-04-2020,86,46,167
16,08-04-2020,51,7,36
17,09-04-2020,43,34,79
18,10-04-2020,55,36,113
19,11-04-2020,23,42,52
20,12-04-2020,51,9,64
21,13-04-2020,43,16,67
22,14-04-2020,39,22,133
23,15-04-2020,35,33,67
24,16-04-2020,29,18,99
25,17-04-2020,45,10,64
26,18-04-2020,42,35,70
27,19-04-2020,61,50,253
28,20-04-2020,58,51,178
29,21-04-2020,58,4,42
30,22-04-2020,57,8,50
31,23-04-2020,51,28,135
32,24-04-2020,53,5,-1358
33,25-04-2020,57,23,138
34,26-04-2020,55,26,121
35,27-04-2020,75,35,173
36,28-04-2020,77,24,-1274
37,29-04-2020,121,23,169
38,30-04-2020,85,13,75
39,01-05-2020,41,63,128
40,02-05-2020,50,48,102
41,03-05-2020,71,60,115
42,04-05-2020,68,48,149
43,05-05-2020,74,125,228
44,06-05-2020,73,25,111
45,07-05-2020,75,28,142
46,08-05-2020,88,27,157
47,09-05-2020,72,24,-1305
48,10-05-2020,67,57,-1162
49,11-05-2020,97,29,-1084
50,12-05-2020,89,26,140
51,13-05-2020,71,32,-1287
52,14-05-2020,44,48,-1272
53,15-05-2020,86,23,246
54,16-05-2020,36,19,61
55,17-05-2020,29,31,88
56,18-05-2020,39,25,78
57,19-05-2020,98,18,139
58,20-05-2020,70,26,148
59,21-05-2020,68,17,116
60,22-05-2020,73,22,115
61,23-05-2020,69,11,128
62,24-05-2020,82,30,200
63,25-05-2020,95,35,223
64,26-05-2020,65,21,129
65,27-05-2020,99,16,159
66,28-05-2020,97,14,-1304
67,29-05-2020,110,21,142
68,30-05-2020,61,34,140
69,31-05-2020,16,18,40
70,01-06-2020,65,17,-1361
71,02-06-2020,120,26,151
72,03-06-2020,77,15,75
73,04-06-2020,105,18,140
74,05-06-2020,66,27,77
75,06-06-2020,96,20,147
76,08-06-2020,149,13,131
77,09-06-2020,60,21,-1345
78,10-06-2020,97,25,211
79,11-06-2020,58,4,28
80,12-06-2020,105,20,178
81,13-06-2020,43,7,-1361
82,14-06-2020,58,28,-1303
83,15-06-2020,68,23,133
84,16-06-2020,66,35,117
85,17-06-2020,59,16,87
86,18-06-2020,78,35,-1274
87,19-06-2020,67,16,78
88,20-06-2020,90,25,147
89,21-06-2020,98,9,96
90,22-06-2020,88,37,191
91,23-06-2020,95,13,-1297
92,24-06-2020,157,30,196
93,25-06-2020,49,70,162
94,26-06-2020,84,37,274
95,27-06-2020,44,13,59
96,28-06-2020,74,45,146
97,29-06-2020,57,12,80
98,30-06-2020,88,20,180
99,01-07-2020,67,42,-1254
100,02-07-2020,109,30,209
101,03-07-2020,89,14,98
102,04-07-2020,58,11,40
103,05-07-2020,36,17,113
104,06-07-2020,74,56,278
105,07-07-2020,100,9,85
106,08-07-2020,115,24,185
107,09-07-2020,63,56,-1207
108,10-07-2020,134,33,-1136
109,11-07-2020,47,30,87
110,12-07-2020,113,35,154
111,13-07-2020,69,10,-1330
112,14-07-2020,95,80,275
113,15-07-2020,52,46,-1227
